x1,y1,      x2,y2,      x3,y3,      x4,y4,
571,292,    1892,293,   575,1588,   1896,1588,
575,1717,   1897,1718,  579,3012,   1900,3012,

574,292,    1896,292,   578,1587,   1899,1588,
578,1716,   1900,1716,  582,3011,   1902,3012,

578,282,    1899,283,   581,1577,   1903,1578,
582,1706,   1903,1707,  584,3001,   1907,3002,

579,283,    1900,284,   582,1578,   1903,1579,
583,1708,   1903,1709,  586,3003,   1907,3003,

569,279,    1892,281,   573,1576,   1895,1576,
574,1704,   1896,1705,  577,3000,   1899,3001,
