x1, 	y1, 	x2, 	y2, 	x3, 	y3, 	x4, 	y4,

570,	283,	1903,	285,	571,	1579,	1903,	1589,
567,	1707,	1901,	1705,	569,	3009,	1901,	3009,

567,	275,	1903,	277,	573,	1574,	1899,	1574,
567,	1694,	1901,	1698,	569,	3001,	1903,	2999,

568,	280,	1897,	280,	571,	1577,	1901,	1578,
569,	1702,	1900,	1703,	570,	3002,	1902, 	3002,

559,	287,	1891,	277,	569,	1586,	1907,	1574,
573,	1710,	1903,	1700,	583,	3011,	1919,	3003,

569,	283,	1899,	281,	565,	1585,	1899,	1587,
569,	1708,	1897,	1706,	563,	3007,	1903,	3007,

	
