x1, y1,    x2,  y2,   x3, y3,   x4,  y4,
566,307,  1893,307,  572,1602,  1897,1602,
573,1734,  1897,1731,  577,3030,  1903,3029,

570,311,  1896,308,  573,1608,  1900,1603,
575,1736,  1901,1734,  578,3032,  1907,3030,

568,293,  1889,290,  572,1590,  1892,1586,
573,1718,  1892,1716,  575,3016,  1897,3015,

570,282,  1898,284,  573,1578,  1900,1580,
572,1707,  1900,1708,  572,3006,  1901,3007,

574,280,  1903,282,  575,1578,  1904,1581,
576,1704,  1902,1706,  576,3004,  1904,3004,
